Programa;JCL;Pacote;Desativado;ChamadaNaoCobol
VA0462B;JPVAD08;5;Nao;Nao
VA0468B;JPVAD08;5;Nao;Nao
VA0470B;JPVAD08;5;Nao;Nao
VA0485B;JPVAD08;5;Nao;Nao
VA0486B;JPVAD08;5;Nao;Nao
VA0487B;JPVAD08;5;Nao;Nao
VA0488B;JPVAD08;5;Nao;Nao
VA0489B;JPVAD08;5;Nao;Nao
VA0499B;JPVAD08;5;Nao;Nao
VA0512B;JPVAD08;5;Nao;Nao
VA0513B;JPVAD08;5;Nao;Nao
VA0515B;JPVAD08;5;Nao;Nao
VA0568B;JPVAD08;5;Nao;Nao
VA0684B;JPVAD08;5;Nao;Nao
VA0817B;JPVAD08;5;Nao;Nao
VA0949B;JPVAD08;5;Nao;Nao
VA0950B;JPVAD08;5;Nao;Nao
VA2466B;JPVAD08;5;Nao;Nao
VA0197B;JPVAD10;5;Nao;Nao
VA0198B;JPVAD10;5;Nao;Nao
VG0014B;JPVAD10;5;Nao;Nao
VG0015B;JPVAD10;5;Nao;Nao
VG0016B;JPVAD10;5;Nao;Nao
VA0139B;JPVAM10;5;Nao;Nao
VA0416B;JPVAM10;5;Nao;Nao
VE1111B;JPVAM10;5;Nao;Nao
VG0138B;JPVAM10;5;Nao;Nao
VG0139B;JPVAM10;5;Nao;Nao
VG1471B;JPVAM10;5;Nao;Nao
VG9562B;JPVAM10;5;Sim;Nao
VA0610B;JPVAM13;5;Nao;Nao
VA9471B;JPVAM13;5;Nao;Nao
VA9472B;JPVAM13;5;Nao;Nao
VF0402B;JPVFD01;5;Nao;Nao
VF0403B;JPVFD01;5;Nao;Nao
VG0003B;JPVGD17;5;Nao;Nao
VG0007B;JPVGD17;5;Nao;Nao
VG0005B;JPVGD18;5;Nao;Nao
VG0006B;JPVGD18;5;Nao;Nao
VG0008B;JPVGD18;5;Nao;Nao
VG0601B;JPVGM03;5;Nao;Nao
VG0602B;JPVGM03;5;Nao;Nao
VG0658B;JPVGM03;5;Nao;Nao
VG0659B;JPVGM03;5;Nao;Nao
VA1281B;JPVGS06;5;Nao;Nao
VA1282B;JPVGS06;5;Nao;Nao
VG0707B;JPVGS06;5;Nao;Nao
VG0710B;JPVGS06;5;Nao;Nao
VG0720B;JPVGS06;5;Nao;Nao
VG0725B;JPVGS06;5;Nao;Nao
VG1668B;JPVGS06;5;Nao;Nao
VP1110B;JPVPD01;5;Nao;Nao
VP1111B;JPVPD01;5;Nao;Nao
VA2345B;JPVPS02;5;Nao;Nao
CT0005S;;5;Nao;Nao
CT0016S;;5;Nao;Nao
GE0310B;;5;Nao;Sim
GE0370S;;5;Nao;Nao
OD0017S;;5;Nao;Nao
SPBVG002;;5;Nao;Nao
SPBVG003;;5;Nao;Nao
SPBVG004;;5;Nao;Nao
SPBVG005;;5;Nao;Nao
SPBVG006;;5;Nao;Nao
SPBVG007;;5;Nao;Nao
SPBVG008;;5;Nao;Nao
SPBVG010;;5;Nao;Nao
SPBVG014;;5;Nao;Nao
VA0600S;;5;Nao;Nao
VA0600ST;;5;Nao;Nao
